,title,link,time
0,"구글 등 플랫폼 기업, 세계 각지서 뉴스 사용료 갈등",https://www.ekoreanews.co.kr/news/articleView.html%3Fidxno%3D72815&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQIAxAC&usg=AOvVaw3NjVlVRS_gGA6Lu8CLmBPU,1시간 전
1,"KISIA, 정보보호 스타트업 협의체 발족식 개최",http://www.nkeconomy.com/news/articleView.html%3Fidxno%3D13203&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQICRAC&usg=AOvVaw1B9Mxt_7OzaridAFgE224z,2시간 전
2,"기계전기전자시험연구원, 심천시험소 IT‧AV CBTL 지정 작업 마무리",https://www.mtnews.net/news/articleView.html%3Fidxno%3D18506&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQIARAC&usg=AOvVaw2OdQM7SEZWpooIKZccYk2Q,5시간 전
3,"법무법인 원, EU 인공지능법과 기업 대응 세미나 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/MVRNJVRHTBGZRIYYEJ4KTFIVJY/&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQIBxAC&usg=AOvVaw1cSJyOQCd6SGC_pqerHCfQ,5시간 전
4,"삼성전기, 소형IT용 전고체 배터리 개발 속도",https://www.newstomato.com/readnews.aspx%3Fno%3D1226830&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQIABAC&usg=AOvVaw18n5zkaDpYxmkHD6WKLvuo,10시간 전
5,"메가존클라우드, 클라우드 전문가 양성과정 수강생 모집",https://www.gttkorea.com/news/articleView.html%3Fidxno%3D9947&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQIBBAC&usg=AOvVaw0h5XPrnhD3vRwQ7k2bkdiz,4시간 전
6,“가짜뉴스·사기광고 꼴보기싫어”…석달 연속 이용자 떠나는 인스타·페북,https://www.mk.co.kr/news/it/10990235&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQIBRAC&usg=AOvVaw0y6HDdS4gtpMPh1iCkkkzB,9시간 전
7,"롯데이노베이트-코오롱베니트, AI 협력 MOU 체결",https://www.yna.co.kr/view/AKR20240415020900017%3Fsection%3Dnews&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQIAhAC&usg=AOvVaw24cB9o79SJsw9kVtXpOgOc,8시간 전
8,"LGU+ 황현식 사장, AI인재 찾아 실리콘밸리行",https://www.economytalk.kr/news/articleView.html%3Fidxno%3D253777&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQIBhAC&usg=AOvVaw0rkUtkgoQuHsg_u7pKjNbe,5시간 전
9,AI 교육 선도학교 청소년들 SKT 티움 방문,http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114484&sa=U&ved=2ahUKEwjIq5bu18OFAxXFdPUHHXQ-B2YQxfQBegQICBAC&usg=AOvVaw0BWHg6csLbk6P9PPIMSLui,5시간 전
10,"효성인포메이션시스템, 비즈니스 혁신 향한 ‘AI 플랫폼’ 전략",https://www.gttkorea.com/news/articleView.html%3Fidxno%3D9932&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgAEAI&usg=AOvVaw0ja_OWf7aZ8ZuP87zDe_0i,7시간 전
11,AI 교육 선도학교 청소년들 SKT 티움 방문,http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114484&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgJEAI&usg=AOvVaw2vqhyLi3zMQwnkoe7Vkhog,5시간 전
12,"“AI 인재 모십니다”... 통신 3사, 대학생 연구비 지원부터 美 리쿠르팅까지 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/ACBX3JGNONCOZAB7MK6V5AJEUE/&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgHEAI&usg=AOvVaw1AKXQWjU1ZSwEl0zIfsC31,2시간 전
13,물류 업무 효율 70% 높이는 '컨베이어형 분류 로봇',https://www.gttkorea.com/news/articleView.html%3Fidxno%3D9937&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgDEAI&usg=AOvVaw2lvMoaXbPhgj2OQUxuPjO7,6시간 전
14,"NHN벅스, 에센셜 오리지널 앨범 발매 프로젝트 실시",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114488&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgCEAI&usg=AOvVaw2XrrlJHb0g39kyArVrqZ5N,5시간 전
15,"구글·MS·아마존, AI 시대 ‘데이터센터’ 증설 승부수…각국 정부 유치전 치열 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/DSNV3MMWHRCB5BTVZOIHS4JENM/&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgFEAI&usg=AOvVaw2rz6Vk0fDjM4BgIrmWBS7v,20분 전
16,"GIST, 사진·영상 흑백 보정 AI 기술 개발",http://www.enewstoday.co.kr/news/articleView.html%3Fidxno%3D2114323&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgBEAI&usg=AOvVaw2meuhzFgTcD7S3jToFdTXG,7시간 전
17,"롯데이노베이트-코오롱베니트, AI 사업협력 MOU - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/QNYN3WD2UJC2HPD2MLPKQGPB6U/&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgGEAI&usg=AOvVaw3qltSGwzBowtUCg5CRqGQK,6시간 전
18,"3월 ICT 수출 전년比 19.4%↑… 반도체 수출 33.9% 늘어, 올 들어 최고 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/4ZTH5OU6KRD53CFUADVEE25CVA/&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgIEAI&usg=AOvVaw3iuDmimk1AFxo0SlHbHiTv,5시간 전
19,‘카카오프렌즈 골프 출시’ 5주년 기념… 용품 최대 71% 할인 - 조선비즈,https://biz.chosun.com/it-science/ict/2024/04/15/HF4IY7U4HBDI3ELSXSBSIV4DV4/&sa=U&ved=2ahUKEwjS8PDv18OFAxXnZvUHHe16CiU4ChDF9AF6BAgEEAI&usg=AOvVaw0BVp4eULwiqTxSV5SsUDfl,7시간 전
20,"메가존클라우드, 부산정보산업인력육성사업 3기 수강생 모집 - 조선비즈",https://biz.chosun.com/it-science/ict/2024/04/15/BJ75D72FVVFDHD7GSIXZVE32Q4/&sa=U&ved=2ahUKEwjV8Mvx18OFAxUdavUHHd7eDR04FBDF9AF6BAgBEAI&usg=AOvVaw2XrpcPwUd_kHgX_yH_Rsei,6시간 전
21,'반도체 반등세 뚜렷' 3월 ICT 수출액 26조원.. 3달 연속 두자릿수 증가,https://www.fnnews.com/news/202404151112352704&sa=U&ved=2ahUKEwjV8Mvx18OFAxUdavUHHd7eDR04FBDF9AF6BAgJEAI&usg=AOvVaw0p3QG_aiPTuaVLoYhjaJia,5시간 전
